university,region,gu,region_latitude,region_longitude,university_latitude,university_longitude,distance_km,commute_time,transfers,walking_time,transport_cost
서울대학교,봉천동,관악구,37.4825384917268,126.952165181187,37.4662872666604,126.94815644252,1.84,14.0,0.0,4.0,1500.0
서울대학교,남현동,관악구,37.4745631666845,126.977909779402,37.4662872666604,126.94815644252,2.78,29.0,0.0,10.0,1500.0
서울대학교,사당동,동작구,37.4839326741508,126.973135661399,37.4662872666604,126.94815644252,2.95,32.0,1.0,11.0,1550.0
서울대학교,신림동,관악구,37.4894520674165,126.926185482384,37.4662872666604,126.94815644252,3.22,25.0,0.0,8.0,1500.0
서울대학교,상도동,동작구,37.4985163075705,126.939014238644,37.4662872666604,126.94815644252,3.67,41.0,0.0,12.0,1500.0
서울대학교,시흥동,금천구,37.4476688042386,126.908452220723,37.4662872666604,126.94815644252,4.07,37.0,1.0,14.0,1500.0
서울대학교,상도1동,동작구,37.5032426328398,126.94974984805,37.4662872666604,126.94815644252,4.11,29.0,0.0,8.0,1500.0
서울대학교,신대방동,동작구,37.4930124961565,126.914941920386,37.4662872666604,126.94815644252,4.17,32.0,0.0,20.0,1550.0
서울대학교,동작동,동작구,37.4992139256221,126.973876571542,37.4662872666604,126.94815644252,4.31,39.0,2.0,21.0,1550.0
서울대학교,독산동,금천구,37.4681432491734,126.899392976389,37.4662872666604,126.94815644252,4.31,38.0,1.0,9.0,1500.0
서울대학교,방배동,서초구,37.4834130146568,126.994486969319,37.4662872666604,126.94815644252,4.51,28.0,1.0,12.0,1550.0
서울대학교,흑석동,동작구,37.5057750153538,126.966590753167,37.4662872666604,126.94815644252,4.68,40.0,0.0,10.0,1500.0
서울대학교,노량진동,동작구,37.5107058110368,126.940393261192,37.4662872666604,126.94815644252,4.99,37.0,0.0,3.0,1500.0
서울대학교,대림동,영등포구,37.4925087229046,126.902006335554,37.4662872666604,126.94815644252,5.01,48.0,0.0,7.0,1500.0
서울대학교,대방동,동작구,37.5081642609998,126.926343500008,37.4662872666604,126.94815644252,5.04,35.0,0.0,19.0,1550.0
연세대학교,대신동,서대문구,37.5640649698094,126.944330406191,37.5660508394158,126.943916239886,0.22,,,,
연세대학교,신촌동,서대문구,37.5651616940517,126.93927687604,37.5660508394158,126.943916239886,0.42,,,,
연세대학교,대현동,서대문구,37.560768646354,126.947212193537,37.5660508394158,126.943916239886,0.66,18.0,0.0,15.0,1500.0
연세대학교,봉원동,서대문구,37.5725932042939,126.946963866133,37.5660508394158,126.943916239886,0.78,13.0,0.0,12.0,1500.0
연세대학교,연희동,서대문구,37.5739100104158,126.935230751932,37.5660508394158,126.943916239886,1.16,25.0,1.0,13.0,1500.0
연세대학교,창천동,서대문구,37.5586862112855,126.934193637741,37.5660508394158,126.943916239886,1.19,19.0,0.0,16.0,1500.0
연세대학교,영천동,서대문구,37.5703879302211,126.956682170377,37.5660508394158,126.943916239886,1.22,18.0,0.0,15.0,1500.0
연세대학교,현저동,서대문구,37.5737854968816,126.95407204926,37.5660508394158,126.943916239886,1.24,23.0,0.0,13.0,1500.0
연세대학교,천연동,서대문구,37.5675017663094,126.958422464555,37.5660508394158,126.943916239886,1.29,21.0,0.0,18.0,1500.0
연세대학교,북아현동,서대문구,37.559565244981,126.956901214305,37.5660508394158,126.943916239886,1.35,26.0,0.0,13.0,1500.0
연세대학교,옥천동,서대문구,37.569559807873,126.95890126611,37.5660508394158,126.943916239886,1.38,14.0,0.0,11.0,1500.0
연세대학교,노고산동,마포구,37.5543526246387,126.937909479778,37.5660508394158,126.943916239886,1.4,20.0,0.0,12.0,1500.0
연세대학교,냉천동,서대문구,37.5667821636119,126.961963463309,37.5660508394158,126.943916239886,1.59,19.0,0.0,13.0,1500.0
연세대학교,충정로3가,서대문구,37.5620789699489,126.961983963838,37.5660508394158,126.943916239886,1.65,17.0,1.0,6.0,1500.0
연세대학교,아현동,마포구,37.5544867895966,126.955727151387,37.5660508394158,126.943916239886,1.65,29.0,0.0,17.0,1500.0
고려대학교,안암동5가,성북구,37.5883977734308,127.029021378105,37.5887034223667,127.031698331241,0.24,,,,
고려대학교,제기동,동대문구,37.5831154639891,127.037818414722,37.5887034223667,127.031698331241,0.82,16.0,0.0,11.0,1500.0
고려대학교,안암동2가,성북구,37.586528798482,127.02216855408,37.5887034223667,127.031698331241,0.87,13.0,0.0,9.0,1500.0
고려대학교,안암동1가,성북구,37.5883885968465,127.021358427439,37.5887034223667,127.031698331241,0.91,16.0,0.0,13.0,1500.0
고려대학교,안암동3가,성북구,37.583533676855,127.023313410414,37.5887034223667,127.031698331241,0.94,17.0,0.0,13.0,1500.0
고려대학교,동선동2가,성북구,37.5901655850023,127.020040985677,37.5887034223667,127.031698331241,1.04,17.0,0.0,10.0,1200.0
고려대학교,안암동4가,성북구,37.58070068194,127.024648423554,37.5887034223667,127.031698331241,1.09,17.0,0.0,13.0,1200.0
고려대학교,보문동1가,성북구,37.5864896015958,127.019645993321,37.5887034223667,127.031698331241,1.09,15.0,0.0,13.0,1550.0
고려대학교,보문동4가,성북구,37.5828961453853,127.021347801017,37.5887034223667,127.031698331241,1.12,19.0,0.0,14.0,1500.0
고려대학교,동선동3가,성북구,37.5944938544002,127.020599250097,37.5887034223667,127.031698331241,1.17,22.0,0.0,14.0,1200.0
고려대학교,종암동,성북구,37.5990169781205,127.035217428043,37.5887034223667,127.031698331241,1.19,16.0,0.0,9.0,1500.0
고려대학교,보문동2가,성북구,37.5857474136521,127.018210178625,37.5887034223667,127.031698331241,1.23,15.0,0.0,14.0,1550.0
고려대학교,보문동5가,성북구,37.5823846059336,127.020066071097,37.5887034223667,127.031698331241,1.24,18.0,0.0,17.0,1550.0
고려대학교,동선동1가,성북구,37.5923102427411,127.018211777612,37.5887034223667,127.031698331241,1.25,20.0,0.0,13.0,1200.0
고려대학교,보문동7가,성북구,37.5798181272129,127.022551479065,37.5887034223667,127.031698331241,1.28,19.0,0.0,15.0,1200.0
서강대학교,대흥동,마포구,37.5498936438386,126.943403941965,37.5514649610226,126.942979960696,0.18,,,,
서강대학교,염리동,마포구,37.5470619620453,126.94565571696,37.5514649610226,126.942979960696,0.54,12.0,0.0,8.0,1200.0
서강대학교,노고산동,마포구,37.5543526246387,126.937909479778,37.5514649610226,126.942979960696,0.55,19.0,0.0,10.0,1500.0
서강대학교,신수동,마포구,37.5470206619261,126.935226865858,37.5514649610226,126.942979960696,0.84,20.0,0.0,14.0,1500.0
서강대학교,용강동,마포구,37.54231770904,126.942708117541,37.5514649610226,126.942979960696,1.02,22.0,0.0,18.0,1200.0
서강대학교,대현동,서대문구,37.560768646354,126.947212193537,37.5514649610226,126.942979960696,1.1,19.0,0.0,16.0,1500.0
서강대학교,창천동,서대문구,37.5586862112855,126.934193637741,37.5514649610226,126.942979960696,1.12,22.0,0.0,14.0,1500.0
서강대학교,구수동,마포구,37.5457361347133,126.932539327611,37.5514649610226,126.942979960696,1.12,22.0,0.0,20.0,1550.0
서강대학교,아현동,마포구,37.5544867895966,126.955727151387,37.5514649610226,126.942979960696,1.17,22.0,1.0,17.0,1550.0
서강대학교,창전동,마포구,37.549273643204,126.92977041133,37.5514649610226,126.942979960696,1.19,22.0,0.0,20.0,1550.0
서강대학교,도화동,마포구,37.5415244863241,126.949878054097,37.5514649610226,126.942979960696,1.26,23.0,0.0,16.0,1500.0
서강대학교,현석동,마포구,37.5421619566645,126.934289634391,37.5514649610226,126.942979960696,1.29,28.0,0.0,21.0,1500.0
서강대학교,신공덕동,마포구,37.543714388763,126.95556152591,37.5514649610226,126.942979960696,1.4,21.0,0.0,13.0,1500.0
서강대학교,대신동,서대문구,37.5640649698094,126.944330406191,37.5514649610226,126.942979960696,1.41,21.0,1.0,9.0,1500.0
서강대학교,토정동,마포구,37.5388960581724,126.939782456982,37.5514649610226,126.942979960696,1.43,35.0,0.0,24.0,1200.0
성균관대학교,명륜3가,종로구,37.589565220326,126.993075159072,37.5872284082508,126.993115116294,0.26,,,,
성균관대학교,명륜1가,종로구,37.5891076921368,126.997468304522,37.5872284082508,126.993115116294,0.44,,,,
성균관대학교,원서동,종로구,37.5839318329339,126.988266245452,37.5872284082508,126.993115116294,0.56,40.0,0.0,31.0,1200.0
성균관대학교,와룡동,종로구,37.5823427368208,126.991214588966,37.5872284082508,126.993115116294,0.57,32.0,0.0,26.0,1500.0
성균관대학교,명륜2가,종로구,37.5846964544009,126.999030857136,37.5872284082508,126.993115116294,0.59,13.0,0.0,11.0,1200.0
성균관대학교,혜화동,종로구,37.5868624440017,127.00060686405,37.5872284082508,126.993115116294,0.66,15.0,0.0,12.0,1200.0
성균관대학교,계동,종로구,37.5824324365826,126.986903381874,37.5872284082508,126.993115116294,0.76,22.0,0.0,17.0,1200.0
성균관대학교,명륜4가,종로구,37.5822313405278,127.00007245689,37.5872284082508,126.993115116294,0.83,14.0,0.0,12.0,1200.0
성균관대학교,성북동1가,성북구,37.5895149125503,127.003614139532,37.5872284082508,126.993115116294,0.96,22.0,0.0,19.0,1200.0
성균관대학교,성북동,성북구,37.5910466093958,127.003274531869,37.5872284082508,126.993115116294,0.99,25.0,0.0,22.0,1200.0
성균관대학교,삼청동,종로구,37.5849977825639,126.981758302922,37.5872284082508,126.993115116294,1.03,28.0,0.0,24.0,1200.0
성균관대학교,가회동,종로구,37.5800968068427,126.984784487479,37.5872284082508,126.993115116294,1.08,21.0,0.0,13.0,1200.0
성균관대학교,연건동,종로구,37.5786742164881,126.999669431165,37.5872284082508,126.993115116294,1.11,20.0,0.0,14.0,1200.0
성균관대학교,화동,종로구,37.5806911752014,126.982696745397,37.5872284082508,126.993115116294,1.17,27.0,0.0,19.0,1200.0
성균관대학교,팔판동,종로구,37.582809998749,126.980676503591,37.5872284082508,126.993115116294,1.2,30.0,0.0,24.0,1200.0
한양대학교,사근동,성동구,37.5614997515694,127.045327331714,37.5545036393023,127.046611216845,0.79,18.0,0.0,11.0,1500.0
한양대학교,행당동,성동구,37.558305907888,127.037031736958,37.5545036393023,127.046611216845,0.94,,,,
한양대학교,응봉동,성동구,37.553160488276,127.033416807797,37.5545036393023,127.046611216845,1.17,18.0,0.0,10.0,1500.0
